id,Date,Measure,Count,Reporting,Missing
371,2021-02-14,Staff.Deaths,177,42,"Alaska, Arizona, Massachusetts, Mississippi, Nebraska
372, New Hampshire, New Jersey, Oklahoma, Utah, Wisconsin
373, ICE"
374,2021-02-21,Staff.Deaths,180,41,"Alaska, Arizona, Hawaii, Massachusetts, Mississippi
375, Nebraska, New Jersey, Oklahoma, Utah, Vermont
376, Wisconsin, ICE"
377,2021-02-28,Staff.Deaths,182,42,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
378, Oklahoma, Oregon, Utah, Vermont, Wisconsin
379, ICE"
380,2021-03-07,Staff.Deaths,178,41,"Alaska, Arizona, Florida, Massachusetts, Mississippi
381, Nebraska, New Jersey, Oklahoma, Oregon, Utah
382, Wisconsin, ICE"
383,2021-03-14,Staff.Deaths,186,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
384, Oklahoma, Utah, Wisconsin, ICE"
385,2021-03-21,Staff.Deaths,189,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
386, Oklahoma, Oregon, Wisconsin, ICE"
387,2021-03-28,Staff.Deaths,188,41,"Alaska, Arizona, Massachusetts, Mississippi, Nebraska
388, New Hampshire, New Jersey, Oklahoma, Oregon, Utah
389, Wisconsin, ICE"
390,2021-04-04,Staff.Deaths,183,41,"Alaska, Arizona, Colorado, Florida, Massachusetts
391, Mississippi, Nebraska, New Jersey, Oklahoma, Utah
392, Wisconsin, ICE"
393,2021-04-11,Staff.Deaths,192,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
394, Oklahoma, Oregon, Utah, Wisconsin, ICE"
395,2021-04-18,Staff.Deaths,189,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
396, Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
397,2021-04-25,Staff.Deaths,190,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
398, Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
